name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Fe(Pent)2,NA,Fe(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-08-16,cal,-190586,-293990,50.8,507,173.8,25.5409,54.5813,-15.7,-5.0353,303.0133,100.2378,-0.03,0
Ni(Pent)+,NA,NiCH3(CH2)3CO2+,aq,SK95,NA,1993-09-07,cal,-95874,-150126,6.018,208.4,62.9,10.5339,17.9393,-1.3007,-3.5205,132.5696,39.4221,0.4615,1
Ni(Pent)2,NA,Ni(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-09-07,cal,-180002,-286892,41.54,491.2,165.4,24.3858,51.7607,-14.5917,-4.9187,293.7512,97.0185,-0.03,0
Cu(Pent)+,NA,CuCH3(CH2)3CO2+,aq,SK95,NA,1993-08-16,cal,-69817,-121221,16.38,221.9,67.8,11.1516,19.4472,-1.8933,-3.5828,139.0314,42.1721,0.3041,1
Cu(Pent)2,NA,Cu(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-08-16,cal,-154382,-257470,55.1,517.5,170.8,25.1332,53.5902,-15.32,-4.9943,309.1882,102.3839,-0.03,0
Zn(Pent)+,NA,ZnCH3(CH2)3CO2+,aq,SK95,NA,1993-09-07,cal,-119683,-172896,12.29,220.6,68.2,11.2174,19.6055,-1.9494,-3.5894,138.7888,41.8971,0.3636,1
Zn(Pent)2,NA,Zn(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-09-07,cal,-203415,-308690,49.747,514.9,171.2,25.1842,53.7125,-15.3636,-4.9994,307.6444,101.8474,-0.03,0
Pb(Pent)+,NA,PbCH3(CH2)3CO2+,aq,SK95,NA,1993-09-07,cal,-90793,-133322,53.738,206.9,77.9,12.3324,22.3315,-3.0281,-3.7021,124.5859,38.9638,-0.262,1
Pb(Pent)2,NA,Pb(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-09-07,cal,-175016,-265793,103.988,486.8,182,26.6621,57.3222,-16.7845,-5.1486,291.1785,96.1242,-0.03,0
Co(Pent)+,NA,CoCH3(CH2)3CO2+,aq,SK95,NA,1993-08-31,cal,-97933,-150673,11.199,217.2,68.1,11.209,19.5901,-1.9551,-3.5888,136.9956,41.2096,0.3837,1
