name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Bi(Ac)2+,NA,Bi(CH3COO)2+,aq,SK93,NA,1992-09-26,HKF,cal,-157070,-212380,9.6,327.3,73.6,11.976,21.4619,-2.6877,-3.6661,201.695,63.6303,0.4046,1
La(Ac)+2,NA,LaCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-256000,-289000,-29.6,61.6,6.4,3.1548,-0.0804,5.7863,-2.7756,56.153,9.5148,1.5067,2
La(Ac)2+,NA,La(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-346000,-408000,-10.1,148.1,56.5,9.7487,16.0216,-0.5464,-3.4412,99.3969,27.1273,0.7003,1
Nd(Ac)+2,NA,NdCH3COO+2,aq,SK93,NA,1992-08-17,HKF,cal,-252510,-285470,-26.1,48.1,1.4,2.4521,-1.7961,6.4594,-2.7046,47.7869,6.7648,1.4574,2
Nd(Ac)2+,NA,Nd(CH3COO)2+,aq,SK93,NA,1992-08-17,HKF,cal,-343330,-404110,-5.3,121.7,51,8.9606,14.099,0.2066,-3.3618,83.3168,21.7619,0.6305,1
Sm(Ac)+2,NA,SmCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-251000,-285000,-27.8,47.9,2.7,2.6264,-1.3667,6.2827,-2.7224,47.8346,6.719,1.4769,2
Sm(Ac)2+,NA,Sm(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-342000,-404000,-7.6,121.3,52.4,9.159,14.5839,0.0138,-3.3818,83.3717,21.6725,0.6644,1
Yb(Ac)+2,NA,YbCH3COO+2,aq,SK93,NA,1992-08-17,HKF,cal,-244760,-280040,-36.6,63.4,-0.1,2.2906,-2.1905,6.6154,-2.6883,58.1718,9.8814,1.6113,2
Yb(Ac)2+,NA,Yb(CH3COO)2+,aq,SK93,NA,1992-08-17,HKF,cal,-335520,-399750,-19.6,151.6,49.3,8.7953,13.6959,0.3628,-3.3451,102.7868,27.8427,0.8449,1
U(Ac)+2,NA,UCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-205470,-235490,-21.3,144.6,19.3,4.8662,4.1031,4.1308,-2.9485,103.6659,26.4274,1.3823,2
U(Ac)2+,NA,U(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-296370,-353710,1.3,310.1,70.9,11.6455,20.6554,-2.3718,-3.6328,192.7896,60.1258,0.5324,1
U(Ac)3,NA,U(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-386530,-473050,17.7,496,128.4,19.329,39.4128,-9.7374,-4.4082,296.5739,97.9996,-0.03,0
