name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Nd+3,Nd(+3),Nd+3,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-160600,-166500,-49.5,-43.2,-43.1,-8.8788,-1.6852,14.3204,-2.7093,1.6237,-11.8344,2.255,3
NH3,NH3(0),NH3,aq,SHS89,DEW17.3,2017-09-26,DEW,cal,-6383,-19440,25.77,18.38,24.43,6.241,1.6589,3.4471,-2.8476,16.4796,0.71,-0.05,0
NH4+,NH4(+),NH4+,aq,SH88,DEW17.3,2017-09-26,DEW,cal,-18990,-31850,26.57,16.02,18.13,5.1135,0.5854,4.3472,-2.8032,16.9412,0.2294,0.1502,1
Ni+2,Ni(+2),Ni+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-10900,-12900,-30.8,-11.7,-29,-2.5121,-9.7907,10.7725,-2.3743,13.1906,-5.4179,1.5067,2
NO2-,NO2(-),NO2-,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-7700,-25000,29.4,-23.3,25,5.111,7.0957,3.6437,-3.0723,3.4259,-7.7808,1.1847,-1
NO3-,NO3(-),NO3-,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-26507,-49429,35.12,-16.08,29,5.5224,8.6374,3.1906,-3.1361,6.8564,-6.3098,1.0977,-1
OH-,OH(-),OH-,aq,BL06,DEW17.33,2017-09-26,DEW,cal,-37595,-54977,-5,-19.01,-9.1,2.1,-5,1,-2.7,12.12,-7.52,1.72,-1
Pb+2,Pb(+2),Pb+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-5710,220,4.2,-12.7,-15.6,0.4392,-8.9495,8.6297,-2.409,8.6624,-5.6216,1.0788,2
PbCl+,PbCl(+),PbCl+,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-39050,-38630,28,4.9,13.8,4.2619,-0.2253,5.0271,-2.7697,10.2183,-2.0365,0.1281,1
PbCl2,PbCl2(0),PbCl2,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-71200,-77700,47,2,34.97,8.2937,3.6133,1.8084,-2.9284,6.9887,-2.6272,-0.038,0
PbCl3-,PbCl3(-),PbCl3-,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-102150,-117700,59,-12,53.8,12.3217,7.4484,-1.4073,-3.0869,5.9111,-5.4789,0.7356,-1
Pd+2,Pd(+2),Pd+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,42200,42080,-22.6,-6.3,-20.8,-0.6141,-9.2497,9.3944,-2.3966,15.378,-4.3179,1.4006,2
PO4-3,PO4(-3),PO4-3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-243500,-305300,-53,-114.9,-30.6,-1.1971,-7.3196,9.5906,-2.4764,-9.475,-26.4397,5.6114,-3
Pr+3,Pr(+3),Pr+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-162600,-168800,-50,-47.7,-42.1,-8.5275,-1.9429,14.1041,-2.6987,-1.1977,-12.751,2.235,3
propane,PROPANE,C3H8,aq,SH90,DEW17.34,2017-09-26,DEW,cal,-1963,-30490,33.37,110.6,67,14.2901,9.3224,-2.9787,-3.1644,66.3295,19.4945,-0.5053,0
propanoate,PROPANOATE,C2H5COO-,aq,SH90,DEW17.35,2017-09-26,DEW,cal,-86770,-122630,26.5,32.46,54.95,8.3786,19.3365,0.046,-3.5784,52.3,-4.2,1.2276,-1
"propanoic acid",PROPANOIC-ACID,C3H6O2,aq,PS01,DEW17.01,2017-09-26,DEW,cal,-93450,-122470,49.4,61.28,68.27,14.6,7.9,6.9,-4.3,63.3,-1.4,-0.09,0
propanol,PROPANOL,C3H7OH,aq,PS01,DEW17.01,2017-09-26,DEW,cal,-41910,-75320,40.6,82.85,70.88,14.6,9.1,12.2,-5.5,74.3,3.3,-0.2,0
Ra+2,Ra(+2),Ra+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-134200,-126100,13,-14.4,-10.6,1.5462,-8.634,7.8259,-2.4221,6.2859,-5.9679,0.929,2
ReO4-,ReO4(-),ReO4-,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-166000,-188200,48.1,-0.2,48.1,7.5456,16.2187,0.9628,-3.4495,14.3448,-3.0753,0.9004,-1
S2-2,S2(-2),S2-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,19000,7200,6.8,-65.1,20.2,10.1975,-6.1682,1.5446,-2.524,-3.3497,-16.2955,3.1083,-2
S2O3-2,S2O3(-2),S2O3-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-124900,-155000,16,-57.3,28.5,12.1,-5.626,0.1633,-2.5464,-0.0579,-14.7065,2.9694,-2
S2O4-2,S2O4(-2),S2O4-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-143500,-180100,22,-52.9,35.4,13.6953,-5.1713,-0.995,-2.5652,1.6709,-13.8104,2.8772,-2
S2O5-2,S2O5(-2),S2O5-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-189000,-232000,25,-50.5,38.4,14.3872,-4.9741,-1.4974,-2.5734,2.6824,-13.3215,2.8343,-2
S2O6-2,S2O6(-2),S2O6-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-231000,-280400,30,-46.5,43.3,15.5142,-4.6529,-2.3156,-2.5867,4.3302,-12.5066,2.7587,-2
S2O8-2,S2O8(-2),S2O8-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-266500,-321400,58.4,-25,79,23.7958,-2.2924,-8.3286,-2.6842,12.9633,-8.1272,2.3281,-2
S3-,S3(-),S3-,aq,PD15,DEW17.36,2017-09-26,DEW,cal,13160,NA,23,95,77,17.242,12.133,-5.3353,-3.2806,76.583,16.3169,1.6,-1
S3-2,S3(-2),S3-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,17600,6200,15.8,-57.9,29.2,12.2705,-5.5774,0.0395,-2.5484,-0.3593,-14.8289,2.9749,-2
S3O6-2,S3O6(-2),S3O6-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-229000,-279000,33,-44.1,46.4,16.2285,-4.4493,-2.8343,-2.5951,5.3168,-12.0177,2.7131,-2
S4-2,S4(-2),S4-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,16500,5500,24.7,-50.7,38.1,14.3183,-4.9937,-1.4473,-2.5726,2.6083,-13.3623,2.839,-2
S4O6-2,S4O6(-2),S4O6-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-248700,-292600,61.5,-21.3,74.9,22.7873,-2.5799,-7.5963,-2.6723,14.6933,-7.3734,2.2805,-2
S5-2,S5(-2),S5-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,15700,5100,33.6,-43.6,47,16.3672,-4.4097,-2.935,-2.5967,5.5361,-11.9159,2.7051,-2
S5O6-2,S5O6(-2),S5O6-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-229000,-281000,40,-38.5,53.4,17.8399,-3.99,-4.0042,-2.6141,7.6267,-10.877,2.6076,-2
Sc+3,Sc(+3),Sc+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-140200,-146800,-61,-35.4,-41.9,-8.2115,-2.1746,13.9095,-2.6891,8.4547,-10.2456,2.5003,3
SeO3-2,SeO3(-2),SeO3-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-88400,-121700,3,-68.1,16.4,9.3228,-6.4175,2.1797,-2.5137,-4.5783,-16.9066,3.1658,-2
SeO4-2,SeO4(-2),SeO4-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-105500,-143200,12.9,-60.2,20.7,10.2644,-6.1491,1.496,-2.5248,-1.2987,-15.2973,3.0192,-2
Si2O4,Si2O4(0),Si2O4,aq,SHA14,DEW17.37,2017-09-26,DEW,cal,-400751,-427304,18,49,40,10.0724,2.6931,0.6715,-2.8903,35.8049,6.9467,0.1,0
Si3O6,Si3O6,Si3O6,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-590200,-656130,13,119,67.7,15.1481,10.1393,-3.6636,-3.1982,85.1208,21.2057,1,0
SiO2,SiO2(0),SiO2,aq,SHA14,DEW17.37,2017-09-26,DEW,cal,-199557,-213937,5.3,27.7,18,4.8998,1.409,4.4066,-2.8372,25.7171,2.6079,0.36,0
Sm+2,Sm(+2),Sm+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-123000,-120500,-6.2,3.7,-5.7,2.8947,-8.2497,6.8469,-2.438,19.6532,-2.2808,1.2285,2
